"global_step","2 * 256 * 1024 - _step","2 * 256 * 1024 - valid_loss","2 * 256 * 512 - _step","2 * 256 * 512 - valid_loss","2 * 96 * 96 - _step","2 * 96 * 96 - valid_loss","2 * 192 * 192 - _step","2 * 192 * 192 - valid_loss","2 * 64 * 128 - _step","2 * 64 * 128 - valid_loss","2 * 64 * 256 - _step","2 * 64 * 256 - valid_loss","2 * 64 * 64 - _step","2 * 64 * 64 - valid_loss","2 * 256 * 256 - _step","2 * 256 * 256 - valid_loss","2 * 512 * 2048 - _step","2 * 512 * 2048 - valid_loss","2 * 128 * 256 - _step","2 * 128 * 256 - valid_loss","2 * 128 * 128 - _step","2 * 128 * 128 - valid_loss","2 * 128 * 512 - _step","2 * 128 * 512 - valid_loss","3 * 256 * 512 - _step","3 * 256 * 512 - valid_loss","3 * 512 * 1024 - _step","3 * 512 * 1024 - valid_loss","3 * 256 * 1024 - _step","3 * 256 * 1024 - valid_loss","4 * 512 * 512 - _step","4 * 512 * 512 - valid_loss","4 * 256 * 1024 - _step","4 * 256 * 1024 - valid_loss","4 * 512 * 2048 - _step","4 * 512 * 2048 - valid_loss","4 * 512 * 1024 - _step","4 * 512 * 1024 - valid_loss","copper-violet-60 - _step","copper-violet-60 - valid_loss","deep-oath-61 - _step","deep-oath-61 - valid_loss","volcanic-plasma-64 - _step","volcanic-plasma-64 - valid_loss","8 * 512 * 2048 - _step","8 * 512 * 2048 - valid_loss","eager-sound-62 - _step","eager-sound-62 - valid_loss","morning-eon-65 - _step","morning-eon-65 - valid_loss","12 * 512 * 2048 - _step","12 * 512 * 2048 - valid_loss","CMU sota run - _step","CMU sota run - valid_loss","16 * 512 * 2048 - _step","16 * 512 * 2048 - valid_loss"
"461047749157.4624","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","104000","3.5415870957869093","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"471102611158.725","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","28000","3.5579139247885174","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"472845692127.375","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","80000","3.5160518990760177","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"477905885932.32495","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","28000","3.521432488706189","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"477932817778.25","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","56000","3.4976850404780135","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"477985230403.86255","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","112000","3.5937273059101416","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"478204550284.64996","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","52000","3.5039857264712735","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"478780876657.4624","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","108000","3.5318686146511125","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"495055146837.62506","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","116000","3.5935725112207417","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"496486569981.9375","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","84000","3.513748123853603","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
